,match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
4564,12313654,1,,,doEbsKlIc,2,3,1715111100,browning-maginley,False
4565,12313655,,,,KDXbsKphe,,3,1715116500,hernandez-ilagan,False
4566,12313657,2,,,bdTsvHNd,1,3,1715113500,clark-nakamura,False
4567,12313660,1,,,QkNbsgpld,1,3,1715211300,strode-mchugh,False
4568,12313661,2,,,EYGsYKEb,1,3,1715211000,rubio-fierros-bataljin,False
4569,12313662,2,,,QjBsFjjd,1,3,1715210100,padilla-cote-escobedo,True
4570,12313663,1,,,PAnbsgCCb,2,3,1715204400,casso-strode,True
4571,12313665,2,,,xhDbsImpc,2,3,1715192100,ogura-marrero-curbelo,True
4572,12313667,2,,,xFnjsELmd,2,3,1715192100,jauregui-sainz-rodriguez-pace,False
4573,12313668,2,,,glKbsBfhd,2,3,1715199600,esquici-van-emburgh,False
4574,12313669,1,,,nXEbszrFb,1,3,1715196600,ohoisin-clark,False
4575,12313670,1,,,POlbshxeu,1,3,1715207400,pacheco-mendez-pearson,True
4576,12313684,1,,,HljeZJG,1,3,1715135700,kim-rodionova-ar,True
4577,12313685,1,,,nxIbsQphe,1,3,1715130900,miyahara-yamaguchi,True
4578,12313686,1,,,ENOsyYXb,1,3,1715136300,sato-hule,False
4579,12313687,1,,,ZbRsxQkb,1,3,1715137200,rioux-birrell,False
4580,12313688,2,,,YwmbvjoEb,2,3,1715124600,liang-arakawa,True
4581,12313689,1,,,MJhsTNG,1,3,1715145000,cabrera-jang,True
4582,12313690,2,,,TFosDoD,2,3,1715145900,bhosale-diyas,True
4583,12313691,1,,,xPpswZrc,1,3,1715141700,kawaguchi-lee,True
4584,12313692,2,,,fMOsauBb,2,3,1715128800,ma-inglis,False
4585,12313693,1,,,QdcsqNL,1,3,1715127300,grey-zhao,True
4586,12313694,1,,,XGZbsyugd,1,3,1715125500,kuramochi-imamura,False
4587,12313695,2,,,AnFspQHb,2,3,1715149200,shimizu-bektas,True
4588,12313696,2,,,ApVbsUTtd,1,3,1715218200,ito-sawangkaew,False
4589,12313701,2,,,KZAbsCEdc,2,3,1715136300,hernandez-ilagan,False
4590,12313706,2,,,tlEseljd,2,3,1715238000,yao-liu,False
4591,12313710,1,,,JCkbsHfFb,1,3,1715148900,kuzmova-arakawa,False
4592,12313712,1,,,WWBbsdiId,2,3,1715165400,hou-villet,True
4593,12313713,1,,,vNZbsgiId,1,3,1715155200,adkar-jamshidi,True
4594,12313723,2,,,PkGslHOc,1,3,1715172000,bill-klok,True
4595,12313724,2,,,bHYbsKaqc,2,3,1715157000,zielinski-lemstra,False
4596,12313725,2,,,AcmcsZHsc,2,3,1715162100,fajta-garcian,True
4597,12313726,2,,,yzBcsgqhl,2,3,1715163000,pelivan-petrovic,True
4598,12313727,1,,,AjMcszrAd,1,3,1715178600,matsuda-poljicak,False
4599,12313728,1,,,rjwscVqd,1,3,1715151600,radojicic-setkic,False
4600,12313729,1,,,vdCcsPDQd,2,3,1715170500,kostovic-pavlou,True
4601,12313730,2,,,nwOcsNjbd,2,3,1715182800,chudejova-senic,True
4602,12313731,1,,,tLUbsyoVd,1,3,1715157300,kunz-cavelli,True
4603,12313732,,,,GlgdsZFge,,3,1715156100,mena-sakellaridis-aboian-aboian,True
4604,12313733,2,,,KZddsBWpq,2,3,1715148900,maric-tucakovic,False
4605,12313734,1,,,XgimApM,2,3,1715168700,stoilkovska-ozgen,False
4606,12313735,2,,,tXmbsxErd,1,3,1715148900,bulatova-kazionova,True
4607,12313736,,,,OvWbsdObd,,3,1715174100,martinez-soto,True
4608,12313737,1,,,eyfbshifc,2,3,1715161200,giordano-duerst,True
4609,12313738,2,,,GPHcfcIod,1,3,1715178600,corthey-de-almeida,False
4610,12313740,1,,,JcxcmgNRd,2,3,1715182800,tischner-nunez,False
