,match_id,tournament_id,tournament_name,tournament_slug,tournament_unique_id,tournament_category_name,tournament_category_slug,user_count,ground_type,tennis_points,has_event_player_statistics,crowd_sourcing_enabled,has_performance_graph_feature,display_inverse_home_away_teams,priority,competition_type
17629,12372230,130950,"Kiseljak, Singles Qualifying, M-ITF-BIH-04A",kiseljak-singles-qualifying-m-itf-bih-04a,,ITF Men,itf-men,18,Red clay,,False,True,True,False,0,2
17630,12372239,130992,"Tokyo, Singles Qualifying, W-ITF-JPN-21A",tokyo-singles-qualifying-w-itf-jpn-21a,,ITF Women,itf-women,12,Hardcourt outdoor,,False,True,False,False,0,2
17631,12372240,130992,"Tokyo, Singles Qualifying, W-ITF-JPN-21A",tokyo-singles-qualifying-w-itf-jpn-21a,,ITF Women,itf-women,12,Hardcourt outdoor,,True,True,False,True,0,2
17632,12372241,130965,"Monastir, Singles Qualifying, M-ITF-TUN-34A",monastir-singles-qualifying-m-itf-tun-34a,,ITF Men,itf-men,16,Hardcourt outdoor,,False,False,False,True,0,2
17633,12372262,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,6,Red clay,,False,True,False,True,0,2
17634,12372266,130965,"Monastir, Singles Qualifying, M-ITF-TUN-34A",monastir-singles-qualifying-m-itf-tun-34a,,ITF Men,itf-men,16,Hardcourt outdoor,,True,True,False,True,0,2
17635,12372310,131011,"Troisdorf, Singles Qualifying, W-ITF-GER-03A",troisdorf-singles-qualifying-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,True,True,True,True,0,2
17636,12372320,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,6,Red clay,,False,False,False,True,0,2
17637,12372377,130950,"Kiseljak, Singles Qualifying, M-ITF-BIH-04A",kiseljak-singles-qualifying-m-itf-bih-04a,,ITF Men,itf-men,18,Red clay,,True,True,False,False,0,2
17638,12372378,130950,"Kiseljak, Singles Qualifying, M-ITF-BIH-04A",kiseljak-singles-qualifying-m-itf-bih-04a,,ITF Men,itf-men,18,Red clay,,True,False,True,True,0,2
17639,12372400,130965,"Monastir, Singles Qualifying, M-ITF-TUN-34A",monastir-singles-qualifying-m-itf-tun-34a,,ITF Men,itf-men,16,Hardcourt outdoor,,False,False,True,False,0,2
17640,12372409,130950,"Kiseljak, Singles Qualifying, M-ITF-BIH-04A",kiseljak-singles-qualifying-m-itf-bih-04a,,ITF Men,itf-men,18,Red clay,,True,True,True,False,0,2
17641,12372426,130965,"Monastir, Singles Qualifying, M-ITF-TUN-34A",monastir-singles-qualifying-m-itf-tun-34a,,ITF Men,itf-men,16,Hardcourt outdoor,,False,True,False,True,0,2
17642,12372524,130965,"Monastir, Singles Qualifying, M-ITF-TUN-34A",monastir-singles-qualifying-m-itf-tun-34a,,ITF Men,itf-men,16,Hardcourt outdoor,,False,False,True,False,0,2
