,match_id,tournament_id,tournament_name,tournament_slug,tournament_unique_id,tournament_category_name,tournament_category_slug,user_count,ground_type,tennis_points,has_event_player_statistics,crowd_sourcing_enabled,has_performance_graph_feature,display_inverse_home_away_teams,priority,competition_type
17796,12373233,131003,"Otocec, Singles Main, W-ITF-SLO-07A",otocec-singles-main-w-itf-slo-07a,,ITF Women,itf-women,13,Red clay,,True,False,False,True,0,2
17797,12373234,131003,"Otocec, Singles Main, W-ITF-SLO-07A",otocec-singles-main-w-itf-slo-07a,,ITF Women,itf-women,13,Red clay,,False,True,True,False,0,2
17798,12373235,131003,"Otocec, Singles Main, W-ITF-SLO-07A",otocec-singles-main-w-itf-slo-07a,,ITF Women,itf-women,15,Red clay,,False,False,False,True,0,2
17799,12373237,131003,"Otocec, Singles Main, W-ITF-SLO-07A",otocec-singles-main-w-itf-slo-07a,,ITF Women,itf-women,13,Red clay,,False,False,False,True,0,2
17800,12373238,131003,"Otocec, Singles Main, W-ITF-SLO-07A",otocec-singles-main-w-itf-slo-07a,,ITF Women,itf-women,13,Red clay,,False,True,False,False,0,2
17801,12373239,131003,"Otocec, Singles Main, W-ITF-SLO-07A",otocec-singles-main-w-itf-slo-07a,,ITF Women,itf-women,13,Red clay,,True,True,False,True,0,2
17802,12373241,131003,"Otocec, Singles Main, W-ITF-SLO-07A",otocec-singles-main-w-itf-slo-07a,,ITF Women,itf-women,13,Red clay,,True,True,True,False,0,2
17803,12373242,131011,"Troisdorf, Singles Qualifying, W-ITF-GER-03A",troisdorf-singles-qualifying-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,True,True,False,False,0,2
17804,12373243,131011,"Troisdorf, Singles Qualifying, W-ITF-GER-03A",troisdorf-singles-qualifying-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,False,False,True,True,0,2
17805,12373246,131083,"Troisdorf, Singles Main, W-ITF-GER-03A",troisdorf-singles-main-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,True,True,False,True,0,2
17806,12373248,131083,"Troisdorf, Singles Main, W-ITF-GER-03A",troisdorf-singles-main-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,True,True,False,True,0,2
17807,12373249,131083,"Troisdorf, Singles Main, W-ITF-GER-03A",troisdorf-singles-main-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,True,False,False,True,0,2
17808,12373252,131083,"Troisdorf, Singles Main, W-ITF-GER-03A",troisdorf-singles-main-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,False,False,False,True,0,2
17809,12373254,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,5,Red clay,,True,True,True,False,0,2
17810,12373255,131083,"Troisdorf, Singles Main, W-ITF-GER-03A",troisdorf-singles-main-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,False,False,True,True,0,2
17811,12373256,131011,"Troisdorf, Singles Qualifying, W-ITF-GER-03A",troisdorf-singles-qualifying-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,True,False,False,True,0,2
17812,12373257,131083,"Troisdorf, Singles Main, W-ITF-GER-03A",troisdorf-singles-main-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,True,True,True,True,0,2
17813,12373258,131083,"Troisdorf, Singles Main, W-ITF-GER-03A",troisdorf-singles-main-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,True,False,False,False,0,2
17814,12373259,131011,"Troisdorf, Singles Qualifying, W-ITF-GER-03A",troisdorf-singles-qualifying-w-itf-ger-03a,,ITF Women,itf-women,18,Red clay,,False,False,True,False,0,2
17815,12373260,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,5,Red clay,,False,True,False,False,0,2
17816,12373263,130954,"Constanta, Singles Qualifying, M-ITF-ROU-04A",constanta-singles-qualifying-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,True,False,True,False,0,2
17817,12373264,130954,"Constanta, Singles Qualifying, M-ITF-ROU-04A",constanta-singles-qualifying-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,True,False,False,True,0,2
17818,12373265,130954,"Constanta, Singles Qualifying, M-ITF-ROU-04A",constanta-singles-qualifying-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,True,False,False,True,0,2
17819,12373266,130954,"Constanta, Singles Qualifying, M-ITF-ROU-04A",constanta-singles-qualifying-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,True,False,True,True,0,2
17820,12373269,130954,"Constanta, Singles Qualifying, M-ITF-ROU-04A",constanta-singles-qualifying-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,False,True,False,True,0,2
17821,12373270,131085,"Constanta, Singles Main, M-ITF-ROU-04A",constanta-singles-main-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,False,True,False,False,0,2
17822,12373271,130954,"Constanta, Singles Qualifying, M-ITF-ROU-04A",constanta-singles-qualifying-m-itf-rou-04a,,ITF Men,itf-men,16,Red clay,,False,True,True,True,0,2
