,match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
0,12260075,3463,3855,,,,1714510786
1,12260076,3032,2121,2674,,,1714492157
2,12260077,2747,3525,4074,,,1714492461
3,12260078,2519,2531,2121,,,1714577805
4,12260080,2616,2766,,,,1714482777
5,12260081,1701,2440,2317,,,1714596710
6,12260083,,,,,,1714602241
7,12260085,2777,4401,,,,1714498894
8,12261594,1857,2879,,,,1714588492
9,12261595,2687,3986,3432,,,1714564738
10,12261596,1414,2843,1333,,,1714504393
11,12276769,1397,2130,,,,1714557665
12,12276772,2468,3231,,,,1714563236
13,12276773,3162,2974,,,,1714627769
14,12276774,1314,4056,,,,1714626056
15,12276775,2376,1862,,,,1714630358
16,12276776,3688,1626,,,,1714553909
17,12276781,3315,4072,,,,1714555522
18,12276783,2197,2961,2609,,,1714624426
19,12276806,1781,3149,,,,1714657086
20,12276816,2342,1945,,,,1714657666
21,12276857,2543,3974,,,,1714647099
22,12276861,2916,3980,1991,,,1714658369
23,12276862,4135,4023,2796,,,1714664332
24,12276863,2151,2347,,,,1714643105
25,12276864,5991,3757,,,,1714658100
26,12276924,2160,2164,,,,1714647948
27,12276925,2757,2189,,,,1714649494
28,12276927,3183,2996,,,,1714646138
29,12276928,2286,3364,2756,,,1714662594
30,12276929,3393,3199,2453,,,1714583311
31,12276934,1416,2212,,,,1714653966
32,12276937,2063,2039,,,,1714578283
33,12276938,1489,2429,1975,,,1714654013
34,12276975,3253,2503,,,,1714642298
35,12276976,2273,2210,,,,1714647354
36,12276978,2528,3208,2970,,,1714657223
37,12276981,2240,2583,,,,1714641345
38,12276983,,,,,,1714645564
39,12276986,2600,3381,1976,,,1714650711
40,12276987,1091,2283,1693,,,1714642510
41,12287004,4299,1522,,,,1714520170
42,12287005,2521,2171,,,,1714580423
43,12287006,5220,3111,2656,,,1714512259
44,12287007,2263,,,,,1714491089
45,12287008,2280,4000,4221,,,1714515041
46,12287009,4078,3870,,,,1714590408
47,12287010,,,,,,
48,12287011,3499,2218,,,,1714492313
49,12287012,2681,4384,,,,1714581008
50,12287013,3067,3848,3206,,,1714535246
51,12288044,2924,2430,,,,1714481575
52,12288048,2050,2354,,,,1714493672
53,12288050,,,,,,
54,12288414,,,,,,
55,12288415,,,,,,
56,12288416,,,,,,
57,12288417,1504,1903,,,,1714607219
58,12288418,,,,,,
59,12288419,2966,2833,802,,,1714599629
60,12288420,1774,1988,,,,1714603014
61,12288421,2137,2342,,,,1714597357
62,12288918,1871,3493,,,,1714574202
63,12288919,1811,4552,3647,,,1714577266
64,12288920,3086,1833,,,,1714567878
65,12288921,4069,1043,,,,1714562297
66,12288922,2466,2888,3072,,,1714585020
67,12288923,2176,2466,3491,,,1714486689
68,12288924,3081,3845,,,,1714567646
69,12288925,4321,1125,,,,1714576899
70,12288926,2389,4257,2786,,,1714572197
71,12288929,2097,4992,2959,,,1714495434
72,12288930,3045,3431,3167,,,1714561293
73,12288931,,,,,,
74,12288932,2138,2066,,,,1714578243
75,12288933,1918,2272,3843,,,1714483397
76,12289656,4676,10124,,,,1714485603
77,12289658,1927,3447,,,,1714491753
78,12289660,1874,2101,,,,1714578260
79,12289663,1882,1979,,,,1714497311
80,12289664,2617,2536,3908,,,1714602228
81,12289665,,,,,,
82,12289667,1595,2179,,,,1714577952
83,12289668,2078,2944,,,,1714498873
84,12289670,2170,2110,3136,,,1714580992
85,12289671,4660,2548,,,,1714586011
86,12289672,3111,2602,,,,1714515728
87,12289674,,,,,,
88,12289675,3447,2919,2327,,,1714496384
89,12289677,1457,2937,2114,,,1714594963
90,12289678,2719,3050,2628,,,1714495896
91,12289690,2213,3300,,,,1714501695
92,12289691,3097,3475,,,,1714585923
93,12290721,2177,2765,,,,1714548352
94,12291185,3502,1889,,,,1714482649
95,12291277,1951,3368,,,,1714563089
96,12291304,2882,3408,,,,1714487520
97,12291487,2,2622,,,,1714561940
98,12291488,2302,295,,,,1714563101
99,12291489,2883,4694,4971,,,1714570800
100,12291490,2059,4103,1485,,,1714561665
101,12291491,3703,1851,,,,1714566148
102,12291492,4,1093,1899,,,1714558607
103,12291493,1871,2043,,,,1714563521
104,12291497,2679,3161,,,,1714567098
105,12291498,3,5,,,,1714557948
106,12291506,251,4274,,,,1714557967
107,12291593,3826,3227,,,,1714487786
108,12291657,2707,2777,2707,,,1714486965
109,12291659,2046,4115,,,,1714485120
110,12291660,1981,1798,,,,1714492128
111,12291698,3346,2592,2040,,,1714577052
112,12291700,1955,2236,,,,1714564737
113,12291702,2294,2158,2675,,,1714564458
114,12291704,1911,2005,,,,1714568088
115,12291706,2911,3480,,,,1714558167
116,12291709,2249,2947,3123,,,1714485557
117,12291711,2059,2639,2796,,,1714562411
118,12291712,2749,3251,1644,,,1714486532
119,12291714,1898,3198,,,,1714492278
120,12291819,2859,1734,,,,1714489537
121,12291832,5161,3716,,,,1714491339
122,12291833,3801,3839,1093,,,1714487405
123,12292132,2439,4217,2664,,,1714486629
124,12292140,1172,1728,,,,1714491767
125,12292146,1940,2038,,,,1714491338
126,12292148,1999,321,,,,1714483785
127,12292151,2889,2463,,,,1714486938
128,12292279,2398,3474,2238,,,1714488733
129,12292282,2605,3467,7858,,,1714490643
130,12292287,2663,2737,,,,1714498720
131,12292484,2631,2831,,,,1714481819
132,12292485,1778,1268,,,,1714482610
133,12292487,2090,1622,,,,1714483094
134,12292489,2461,1937,,,,1714481433
135,12292490,2628,1829,,,,1714482408
136,12292491,3384,3267,,,,1714482513
137,12292492,2652,1713,,,,1714487609
138,12292681,,,,,,
139,12292682,,,,,,
140,12292683,1969,3108,,,,1714499458
141,12292684,3159,3480,,,,1714499124
142,12292685,,,,,,
143,12292688,2470,4098,,,,1714505951
144,12292689,2101,1781,,,,1714497666
145,12292691,,,,,,
146,12292692,,,,,,
147,12292693,2617,3184,,,,1714498718
148,12292694,3623,2547,,,,1714506741
149,12292820,1843,2369,,,,1714592061
150,12292821,2546,2058,,,,1714492368
151,12292822,2671,2358,,,,1714498002
152,12292823,2152,3051,,,,1714599692
153,12292824,4163,5686,,,,1714590667
154,12292825,1566,2989,,,,1714491271
155,12292826,2608,2431,,,,1714508752
156,12292827,2549,1091,,,,1714504825
157,12292828,3647,2588,,,,1714592485
158,12292829,2689,2447,,,,1714503122
159,12292849,2467,3320,1762,,,1714501005
160,12292850,2258,2483,,,,1714490189
161,12292851,1780,3171,2110,,,1714492815
162,12292852,2394,3596,,,,1714490496
163,12292853,2719,3117,,,,1714496316
164,12292860,2061,2654,,,,1714505768
165,12292861,2779,1695,2602,,,1714514161
166,12292863,2276,2015,,,,1714498427
167,12292876,,,,,,
168,12292877,,,,,,
169,12292878,,,,,,
170,12292930,1672,2736,,,,1714586660
171,12292931,2340,3488,,,,1714584162
172,12292932,3228,3180,1635,,,1714583212
173,12292933,3237,1695,718,,,1714601225
174,12292934,1795,1860,,,,1714597905
