,match_id,city,stadium,venue_id,country
17895,12374386,Changwon,Center Court,21794,South Korea
17896,12374405,Gyula,Court 3,22102,Hungary
17897,12374406,Gyula,Court 4,22105,Hungary
17898,12374411,La Nucia,Court 1,31597,Spain
17899,12374413,La Nucia,Court 4,31599,Spain
17900,12374415,La Nucia,Court 2,31596,Spain
17901,12374417,La Nucia,Court 1,31597,Spain
17902,12374420,La Nucia,Centre Court,31601,Spain
17903,12374422,Bol,Court 12,44575,Croatia
17904,12374424,Bol,Court 12,44575,Croatia
17905,12374427,Bol,Court 10,44510,Croatia
17906,12374429,Monastir,Court Central,23361,Tunisia
17907,12374430,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
17908,12374432,Monastir,Court 1,23881,Tunisia
17909,12374434,Monastir,Court 2,23360,Tunisia
17910,12374435,Kursumlijska Banja,Court 5,39046,Serbia
17911,12374436,Monastir,Court Central,23361,Tunisia
17912,12374437,Kursumlijska Banja,Court 3,39051,Serbia
17913,12374438,Monastir,Court 4,23364,Tunisia
17914,12374439,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
17915,12374441,Monastir,Court 2,23360,Tunisia
17916,12374442,Kursumlijska Banja,Court 1,39048,Serbia
17917,12374444,Monastir,Court Central,23361,Tunisia
17918,12374446,Gyula,Court 1,22101,Hungary
17919,12374447,Troisdorf,Show Court 1 (3),44581,Germany
17920,12374449,Monastir,Court 2,23360,Tunisia
17921,12374451,Monastir,Court 3,23363,Tunisia
17922,12374453,Monastir,Court 1,23881,Tunisia
17923,12374455,Monastir,Court 1,23881,Tunisia
17924,12374457,Monastir,Court 3,23363,Tunisia
17925,12374459,Monastir,Court 3,23363,Tunisia
17926,12374461,Monastir,Court 4,23364,Tunisia
17927,12374463,Monastir,Court 8,24180,Tunisia
17928,12374464,Monastir,Court 7,23891,Tunisia
17929,12374466,Monastir,Court 8,24180,Tunisia
17930,12374468,Monastir,Court 6,23890,Tunisia
17931,12374470,Monastir,Court 7,23891,Tunisia
17932,12374479,Gyula,Court 4,22105,Hungary
17933,12374480,Gyula,Court 4,22105,Hungary
17934,12374481,Gyula,Court 1,22101,Hungary
17935,12374482,Gyula,Court 3,22102,Hungary
17936,12374483,Gyula,Court 3,22102,Hungary
17937,12374531,Changwon,Court C,21792,South Korea
17938,12374532,Changwon,Court 15,34946,South Korea
17939,12374533,Changwon,Court D,21791,South Korea
17940,12374534,Changwon,Court C,21792,South Korea
17941,12374535,Changwon,Court D,21791,South Korea
17942,12374536,Changwon,Court 15,34946,South Korea
17943,12374537,Tokyo,3,44565,Japan
17944,12374538,Tokyo,2,44568,Japan
17945,12374539,Tokyo,1,44573,Japan
17946,12374540,Tokyo,2,44568,Japan
17947,12374541,Tokyo,1,44573,Japan
17948,12374542,Tokyo,4,44567,Japan
17949,12374543,Tokyo,4,44567,Japan
17950,12375350,Carnac,Central,39683,France
17951,12375446,Klagenfurt,Court 4,44550,Austria
17952,12375466,Klagenfurt,Court 3,44554,Austria
17953,12375471,Klagenfurt,Court 4,44550,Austria
17954,12375512,Bol,Court 8,44508,Croatia
17955,12375513,Bol,Court 13,44576,Croatia
17956,12375514,Bol,Court 9,44512,Croatia
17957,12375515,Bol,Court 8,44508,Croatia
17958,12375516,Bol,Court 8,44508,Croatia
17959,12375517,Bol,Court 9,44512,Croatia
17960,12375519,Bol,Court 3,44506,Croatia
17961,12375546,Kiseljak,Court 3,21866,Bosnia & Herzegovina
17962,12375547,Kiseljak,Court 3,21866,Bosnia & Herzegovina
17963,12375548,Kiseljak,Court 3,21866,Bosnia & Herzegovina
17964,12375549,Kiseljak,Court 4,21867,Bosnia & Herzegovina
17965,12375550,Kiseljak,Court 1,21868,Bosnia & Herzegovina
17966,12375551,Kiseljak,Court 2,21865,Bosnia & Herzegovina
17967,12375552,Kiseljak,Court 2,21865,Bosnia & Herzegovina
17968,12375553,Monastir,Court 5,23362,Tunisia
17969,12375554,Monastir,Court 4,23364,Tunisia
17970,12375555,Monastir,Court 6,23890,Tunisia
17971,12375556,Monastir,Court 5,23362,Tunisia
17972,12375557,Monastir,Court 8,24180,Tunisia
17973,12375558,Monastir,Court 7,23891,Tunisia
17974,12375559,Monastir,Court 6,23890,Tunisia
17975,12375560,Monastir,Court 5,23362,Tunisia
17976,12375570,Troisdorf,M.A.R.A. Court (2),39713,Germany
17977,12375571,Troisdorf,Show Court 2 (4),44582,Germany
17978,12375572,Troisdorf,Show Court 2 (4),44582,Germany
