,match_id,city,stadium,venue_id,country
18304,12373817,San Diego,Court 12,40046,USA
18305,12373818,San Diego,Court 18,35114,USA
18306,12373819,San Diego,Court 16,35109,USA
18307,12373821,San Diego,Court 17,35111,USA
18308,12373822,San Diego,Court 18,35114,USA
18309,12373824,San Diego,Court 17,35111,USA
18310,12373825,San Diego,Court 16,35109,USA
18311,12373829,San Diego,Court 18,35114,USA
18312,12373849,San Diego,Court 17,35111,USA
18313,12374042,Kingston,LIGUANEA Court H,44448,Jamaica
18314,12374043,Kingston,T JAMAICA # 3,44419,Jamaica
18315,12374046,Kingston,LIGUANEA Court H,44448,Jamaica
18316,12374050,Kingston,T JAMAICA # 1,44416,Jamaica
18317,12374052,Kingston,T JAMAICA # 3,44419,Jamaica
18318,12374061,Kingston,T JAMAICA # 1,44416,Jamaica
18319,12374065,Kingston,T JAMAICA # 3,44419,Jamaica
18320,12374066,Kingston,T JAMAICA # 1,44416,Jamaica
18321,12374067,Constanta,Court 4,36257,Romania
18322,12374068,Montemor-O-Novo,Court 1,23533,Portugal
18323,12374069,Constanta,Court 3,36258,Romania
18324,12374070,Bol,Court 10,44510,Croatia
18325,12374071,Constanta,Court 3,36258,Romania
18326,12374072,Constanta,Court 5,36260,Romania
18327,12374073,Bol,Court 3,44506,Croatia
18328,12374075,Bol,Court 1,44518,Croatia
18329,12374076,Bol,Court 11,44515,Croatia
18330,12374077,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
